ZIP,Borough,Neighborhood,Year,Total Adjusted Gross Income (IRS),Number of Returns (IRS),AGI,AGI_num,Median HH Income ($),Mean HH Income ($),Median Home Value ($/sq. foot),% Employed,% Unemployed,% Not in Labor Force,Bordering Water,Number of Subway Stations in ZIP,Stops in ZIP,Number of Subway Lines Serving ZIP,Lines Serving ZIP,Number of Parks,Number of Playgrounds,Park Acreage,LandSqMile,Latitude,Longitude,adjacentZIP,Price_Index,Color,Probability,IncomeLow,IncomeHigh,HouseLow,HouseHigh
11429,Queens,Southeast Queens,2007,"$447,527,000 ","12,240","$36,563 ",36563,,,,,,,N,,,,,7,0,5.861,1.3,40.709766,-73.738653,"11426, 11428, 11423, 11412, 11411",1.07,red,22,43326.83186,63664.85351,0.892759679,1.135458269
11691,Queens,Rockaways,2010,"$819,198,000 ","22,046","$37,159 ",37159,,,,,,,Y,4,"Beach 44 St, Beach 36 St, Beach 25 St, Far Rockaway - Mott Av",1,A,16,0,81.202,2.8,40.601278,-73.761651,11692,1.06,red,22,44081.30464,64251.15544,0.791133741,0.921456724
10303,Staten Island,Port Richmond,2007,"$433,644,000 ","11,350","$38,207 ",38207,,,,,,,Y,,,,,9,0,171635,3.1,40.629885,-74.17413,"10302, 10314",1.06,red,22,43326.83186,63664.85351,0.892759679,1.135458269
11416,Queens,Southwest Queens,2007,"$311,122,000 ","10,596","$29,362 ",29362,,,,,,,N,1,Aqueduct Racetrack,1,A,4,0,4.41,0.7,40.684654,-73.849548,"11421, 11418, 11419, 11417",1.06,red,22,43326.83186,63664.85351,0.892759679,1.135458269
10464,Bronx,Southeast Bronx,2008,"$148,231,000 ","2,131","$69,559 ",69559,,,,,,,Y,,,,,3,0,14.241,3.5,40.867787,-73.79992,10465,1.05,red,22,44541.41962,64579.99543,0.890607641,1.042492584
10302,Staten Island,Port Richmond,2007,"$333,367,000 ","7,607","$43,824 ",43824,,,,,,,Y,,,,,6,0,13.151,1.2,40.630688,-74.137776,"10303, 10310, 10314",1.05,red,22,43326.83186,63664.85351,0.892759679,1.135458269
11435,Queens,Jamaica,2007,"$836,716,000 ","24,185","$34,596 ",34596,,,,,,,N,3,"Sutphin Blvd, Briarwood - Van Wyck Blvd, Sutphin Blvd - Archer Av - JFK Airport",4,"E, F, J, Z",8,0,9.772,1.5,40.701265,-73.809605,"11436, 11433, 11432, 11367, 11415, 11418, 11419, 11420",1.05,red,22,43326.83186,63664.85351,0.892759679,1.135458269
11694,Queens,Rockaways,2008,"$733,797,000 ","8,531","$86,015 ",86015,,,,,,,Y,2,"Beach 105 St, Rockaway Park - Beach 116 St",3,"A, S, 6",12,0,229.724,1.4,40.57827,-73.844762,"11697, 11693",1.05,red,22,44541.41962,64579.99543,0.890607641,1.042492584
11422,Queens,Southeast Queens,2006,"$577,902,000 ","13,645","$42,353 ",42353,,,,,,,Y,,,,,2,0,2.81,2,40.66006,-73.736012,"11413, 11411",1.05,purple,38,44350.42332,66478.2646,0.893471665,1.130588767
10470,Bronx,Northeast Bronx,2006,"$281,870,000 ","6,616","$42,604 ",42604,,,,,,,N,1,Wakefield - 241 St,1,2,2,0,1.224,1.4,40.88953,-73.872662,"10471, 10467, 10466",1.05,purple,38,44350.42332,66478.2646,0.893471665,1.130588767
11206,Brooklyn,Bushwick and Williamsburg,2015,"$1,387,043,000 ","37,000","$37,488 ",37488,"$30,779.00 ","$49,425.00 ",$390.92 ,53.90%,8.20%,38.00%,N,6,"Myrtle Av, Flushing Av, Montrose Av, Morgan Av, Broadway, Myrtle - Willoughby Avs",5,"J, M, Z, L, G",34,0,28.16,1.4,40.701954,-73.942358,"11211, 11237, 11221, 11216, 11205",1.05,purple,38,46874.6,69680,0.890887346,0.913241778
10463,Bronx,Kingsbridge and Riverdale,2010,"$1,784,916,000 ","32,422","$55,053 ",55053,,,,,,,Y,3,"238 St, 231 St, Marble Hill - 225 St",1,1,15,1,35.109,1.4,40.880678,-73.90654,"10471, 10468",1.05,purple,38,44081.30464,64251.15544,0.791133741,0.921456724
11692,Queens,Rockaways,2009,"$252,185,000 ","7,522","$33,526 ",33526,,,,,,,Y,2,"Beach 67 St, Beach 60 St",1,A,9,0,108.417,1,40.594095,-73.792896,"11693, 11691",1.04,purple,38,43818.55709,64797.35987,0.83252179,0.960932841
11413,Queens,Southeast Queens,2006,"$741,719,000 ","17,922","$41,386 ",41386,,,,,,,N,,,,,7,0,32.667,3.1,40.671659,-73.752568,"11422, 11411, 11412, 11434",1.04,purple,38,44350.42332,66478.2646,0.893471665,1.130588767
10473,Bronx,Southeast Bronx,2007,"$874,429,000 ","28,822","$30,339 ",30339,,,,,,,Y,,,,,15,0,309.784,2.2,40.81869,-73.858474,"10465, 10472, 10474",1.04,purple,38,43326.83186,63664.85351,0.892759679,1.135458269
10463,Bronx,Kingsbridge and Riverdale,2007,"$1,820,071,000 ","34,272","$53,107 ",53107,,,,,,,Y,3,"238 St, 231 St, Marble Hill - 225 St",1,1,15,1,35.109,1.4,40.880678,-73.90654,"10471, 10468",1.04,purple,38,43326.83186,63664.85351,0.892759679,1.135458269
10459,Bronx,Hunts Point and Mott Haven,2008,"$455,898,000 ","17,977","$25,360 ",25360,,,,,,,N,7,"Whitlock Av, Hunts Point Av, Longwood Av, Freeman St, Simpson St, Intervale Av, Prospect Av",1,6,22,1,19.087,0.8,40.825867,-73.892942,"10455, 10456, 10460, 10472, 10474",1.04,purple,38,44541.41962,64579.99543,0.890607641,1.042492584
10022,Manhattan,Gramercy Park and Murray Hill,2015,"$10,414,140,000 ","20,230","$514,787 ",514787,"$126,378.00 ","$234,492.00 ","$1,258.90 ",67.30%,3.20%,29.40%,Y,5,"Lexington Av/59 St, Lexington Av/53 St, 5 Av/53 St, 59 St, 51 St",8,"N, W, R, E, M, 4, 5, 6",6,0,3.932,0.4,40.758628,-73.967948,"10065, 10019, 10017",1.04,purple,38,46874.6,69680,0.890887346,0.913241778
11433,Queens,Jamaica,2008,"$415,830,000 ","13,011","$31,960 ",31960,,,,,,,N,1,Jamaica Center - Parsons/Archer,3,"E, J, Z",12,0,31.89,1.6,40.698162,-73.786893,"11434, 11412, 11423, 11432, 11435",1.04,purple,38,44541.41962,64579.99543,0.890607641,1.042492584
11693,Queens,Rockaways,2008,"$245,379,000 ","5,423","$45,248 ",45248,,,,,,,Y,3,"Broad Channel, Beach 90 St, Beach 98 St",2,"A, S",9,0,37.224,1,40.590692,-73.809749,"11694, 11692",1.04,purple,38,44541.41962,64579.99543,0.890607641,1.042492584
11436,Queens,Jamaica,2008,"$286,294,000 ","7,969","$35,926 ",35926,,,,,,,N,,,,,4,0,8.957,0.8,40.675807,-73.796622,"11420, 11435, 11434",1.04,purple,38,44541.41962,64579.99543,0.890607641,1.042492584
11411,Queens,Southeast Queens,2008,"$456,049,000 ","9,924","$45,954 ",45954,,,,,,,N,,,,,3,0,8.72,1.2,40.694021,-73.736216,"11429, 11412, 11413, 11422",1.04,purple,38,44541.41962,64579.99543,0.890607641,1.042492584
11417,Queens,Southwest Queens,2006,"$465,182,000 ","12,448","$37,370 ",37370,,,,,,,N,5,"80 St, 88 St, Rockaway Blvd, 104 St, Aqueduct - N Conduit Av",1,A,12,0,22.306,1.1,40.676446,-73.844443,"11414, 11420, 11419, 11416",1.04,purple,38,44350.42332,66478.2646,0.893471665,1.130588767
10011,Manhattan,Chelsea and Clinton,2014,"$7,959,849,000 ","30,270","$262,962 ",262962,"$104,974.00 ","$193,307.00 ","$1,603.99 ",72.10%,4.30%,23.60%,Y,8,"8 Av, 6 Av, 23 St, 14 St, 14 St, 23 St, 18 St, 14 St",8,"L, C, E, A, F, M, 1, 2",2,3,11.736,0.7,40.742039,-74.00062,"10001, 10010, 10003, 10012, 10014",1.04,purple,38,44754.1094,66383.317,0.834928415,0.869141886
11004,Queens,Southeast Queens,2007,"$381,747,000 ","6,785","$56,263 ",56263,,,,,,,N,,,,,3,0,5.458,0.9,40.746204,-73.711478,"11005, 11426",1.03,purple,38,43326.83186,63664.85351,0.892759679,1.135458269
10459,Bronx,Hunts Point and Mott Haven,2007,"$424,832,000 ","19,522","$21,762 ",21762,,,,,,,N,7,"Whitlock Av, Hunts Point Av, Longwood Av, Freeman St, Simpson St, Intervale Av, Prospect Av",1,6,22,1,19.087,0.8,40.825867,-73.892942,"10455, 10456, 10460, 10472, 10474",1.03,purple,38,43326.83186,63664.85351,0.892759679,1.135458269
11420,Queens,Southwest Queens,2008,"$727,980,000 ","19,959","$36,474 ",36474,,,,,,,N,,,,,9,0,16.202,2.1,40.673583,-73.81773,"11417, 11419, 11435, 11436",1.03,purple,38,44541.41962,64579.99543,0.890607641,1.042492584
11413,Queens,Southeast Queens,2008,"$824,609,000 ","18,994","$43,414 ",43414,,,,,,,N,,,,,7,0,32.667,3.1,40.671659,-73.752568,"11422, 11411, 11412, 11434",1.03,purple,38,44541.41962,64579.99543,0.890607641,1.042492584
11423,Queens,Jamaica,2007,"$583,079,000 ","14,273","$40,852 ",40852,,,,,,,N,,,,,4,0,7.113,1.4,40.715606,-73.768471,"11412, 11429, 11428, 11427, 11364, 11366, 11432, 11433",1.03,purple,38,43326.83186,63664.85351,0.892759679,1.135458269
11426,Queens,Southeast Queens,2006,"$431,291,000 ","8,069","$53,450 ",53450,,,,,,,N,,,,,5,0,81.066,1.4,40.736425,-73.722376,"11362, 11427, 11428, 11429",1.03,purple,38,44350.42332,66478.2646,0.893471665,1.130588767
11412,Queens,Jamaica,2006,"$585,417,000 ","15,793","$37,068 ",37068,,,,,,,N,,,,,3,0,3.63,1.6,40.698095,-73.758986,"11423, 11429, 11411, 11413, 11434, 11433",1.03,purple,38,44350.42332,66478.2646,0.893471665,1.130588767
11418,Queens,Southwest Queens,2007,"$559,220,000 ","15,865","$35,249 ",35249,,,,,,,N,4,"121 St, 111 St, 104 St, Jamaica - Van Wyck",3,"J, Z, E",1,0,0.005,1.6,40.700272,-73.835971,"11385, 11415, 11435, 11419, 11416, 11421",1.03,purple,38,43326.83186,63664.85351,0.892759679,1.135458269
11433,Queens,Jamaica,2006,"$365,085,000 ","11,966","$30,510 ",30510,,,,,,,N,1,Jamaica Center - Parsons/Archer,3,"E, J, Z",12,0,31.89,1.6,40.698162,-73.786893,"11434, 11412, 11423, 11432, 11435",1.03,purple,38,44350.42332,66478.2646,0.893471665,1.130588767
10470,Bronx,Northeast Bronx,2008,"$313,104,000 ","7,000","$44,729 ",44729,,,,,,,N,1,Wakefield - 241 St,1,2,2,0,1.224,1.4,40.88953,-73.872662,"10471, 10467, 10466",1.02,purple,38,44541.41962,64579.99543,0.890607641,1.042492584
10307,Staten Island,South Shore,2006,"$449,048,000 ","5,788","$77,583 ",77583,,,,,,,Y,2,"Tottenville, Arthur Kill",1,SIR,3,0,22.203,2,40.509183,-74.237785,10309,1.02,purple,38,44350.42332,66478.2646,0.893471665,1.130588767
10303,Staten Island,Port Richmond,2008,"$450,575,000 ","10,793","$41,747 ",41747,,,,,,,Y,,,,,9,0,171635,3.1,40.629885,-74.17413,"10302, 10314",1.02,purple,38,44541.41962,64579.99543,0.890607641,1.042492584
10464,Bronx,Southeast Bronx,2009,"$144,247,000 ","2,050","$70,364 ",70364,,,,,,,Y,,,,,3,0,14.241,3.5,40.867787,-73.79992,10465,1.02,purple,38,43818.55709,64797.35987,0.83252179,0.960932841
10473,Bronx,Southeast Bronx,2008,"$923,995,000 ","26,122","$35,372 ",35372,,,,,,,Y,,,,,15,0,309.784,2.2,40.81869,-73.858474,"10465, 10472, 10474",1.02,purple,38,44541.41962,64579.99543,0.890607641,1.042492584
11422,Queens,Southeast Queens,2008,"$638,700,000 ","14,431","$44,259 ",44259,,,,,,,Y,,,,,2,0,2.81,2,40.66006,-73.736012,"11413, 11411",1.02,purple,38,44541.41962,64579.99543,0.890607641,1.042492584
11421,Queens,Southwest Queens,2007,"$629,681,000 ","18,500","$34,037 ",34037,,,,,,,N,3,"Woodhaven Blvd, 85 St - Forest Pkwy, 75 St",2,"J, Z",3,0,1.431,1.3,40.694062,-73.858626,"11385, 11418, 11416",1.02,purple,38,43326.83186,63664.85351,0.892759679,1.135458269
10303,Staten Island,Port Richmond,2006,"$404,128,000 ","10,172","$39,729 ",39729,,,,,,,Y,,,,,9,0,171635,3.1,40.629885,-74.17413,"10302, 10314",1.02,purple,38,44350.42332,66478.2646,0.893471665,1.130588767
10308,Staten Island,South Shore,2006,"$805,825,000 ","12,726","$63,321 ",63321,,,,,,,Y,1,Great Kills,1,SIR,5,0,71.094,2,40.551884,-74.147646,"10306, 10314, 10312",1.02,purple,38,44350.42332,66478.2646,0.893471665,1.130588767
