LAT_TRIM,LON_TRIM,Zip Code,crime_count
40.5515,-74.1799,10312,1
40.5515,-74.1504,10308,3
40.5515,-74.1456,10308,2
40.5515,-74.1443,10308,1
40.5515,-74.1341,10306,2
40.5516,-74.1822,10312,1
40.5516,-74.1785,10312,2
40.5517,-74.1516,10308,1
40.5517,-74.1487,10308,1
40.5517,-74.1448,10308,1
40.5518,-74.1762,10312,1
40.5518,-74.1585,10308,1
40.5518,-74.1579,10308,1
40.5519,-74.1928,10312,1
40.5519,-74.1921,10312,1
40.5519,-74.1799,10312,1
40.5519,-74.1353,10306,1
40.552,-74.1735,10312,2
40.552,-74.165,10312,2
40.552,-74.1506,10308,2
40.552,-74.1442,10308,1
40.552,-74.1423,10308,1
40.552,-74.138,10308,1
40.5521,-74.1613,10308,1
40.5521,-74.1453,10308,3
40.5522,-74.2109,10309,1
40.5523,-74.2131,10309,2
40.5523,-74.1714,10312,1
40.5523,-74.1569,10308,1
40.5523,-74.1404,10308,1
40.5524,-74.2149,10309,1
40.5524,-74.1848,10312,1
40.5524,-74.1702,10312,1
40.5526,-74.2175,10309,1
40.5526,-74.1691,10312,3
40.5526,-74.1509,10308,1
40.5526,-74.1335,10306,2
40.5527,-74.1913,10312,1
40.5527,-74.1354,10306,1
40.5528,-74.2182,10309,1
40.5528,-74.143,10308,1
40.5529,-74.1963,10312,1
40.5529,-74.1499,10308,1
40.553,-74.1681,10312,3
40.553,-74.1657,10312,2
40.553,-74.1521,10308,1
40.5531,-74.2137,10309,2
40.5531,-74.1956,10312,2
40.5532,-74.1643,10308,1
40.5533,-74.1456,10308,1
40.5534,-74.212,10309,3
40.5534,-74.1851,10312,1
40.5535,-74.1921,10312,1
40.5535,-74.1399,10308,2
40.5536,-74.1663,10312,1
40.5537,-74.2127,10309,1
40.5537,-74.1876,10312,1
40.5537,-74.1747,10312,1
40.5537,-74.1717,10312,1
40.5537,-74.1608,10308,1
40.5537,-74.1381,10306,1
40.5538,-74.1961,10312,2
40.5538,-74.1838,10312,1
40.5538,-74.1458,10308,1
40.5538,-74.135,10306,1
40.5539,-74.1758,10312,1
40.5539,-73.9285,11697,1
40.554,-74.1694,10312,1
40.5541,-74.2179,10309,4
40.5541,-74.1739,10312,1
40.5541,-74.1604,10308,1
40.5542,-74.1829,10312,1
40.5543,-74.2106,10309,1
40.5543,-74.1615,10308,1
40.5545,-74.1796,10312,1
40.5545,-74.1416,10306,1
40.5546,-74.1982,10312,2
40.5546,-74.1811,10312,1
40.5546,-74.1731,10312,2
40.5546,-74.1332,10306,2
40.5547,-74.2172,10309,1
40.5548,-74.1744,10312,1
40.5549,-73.93,11697,1
40.555,-74.1531,10308,1
40.5551,-74.1807,10312,2
40.5552,-74.2158,10309,1
40.5552,-74.2133,10309,2
40.5553,-74.1368,10306,1
40.5553,-74.1341,10306,1
40.5553,-74.1121,10306,4
40.5554,-74.2134,10309,1
40.5554,-74.1966,10312,4
40.5554,-74.1818,10312,1
40.5554,-74.1294,10306,1
40.5554,-73.9283,11697,1
40.5556,-74.2139,10309,1
40.5556,-74.1743,10312,2
40.5557,-74.2135,10309,1
40.5557,-74.1419,10308,1
40.5558,-74.1584,10308,1
40.5558,-74.1554,10308,2
40.5559,-74.2023,10312,3
40.5559,-74.1988,10312,1
40.5559,-74.1409,10306,3
40.5561,-74.2033,10312,2
40.5561,-74.1699,10312,1
40.5562,-74.1612,10308,1
40.5562,-74.1537,10308,1
40.5562,-74.1466,10308,1
40.5564,-74.1963,10312,2
40.5564,-74.166,10312,1
40.5565,-74.1641,10312,3
40.5565,-74.1383,10306,2
40.5565,-74.1339,10306,1
40.5565,-74.1281,10306,4
40.5566,-74.1975,10312,2
40.5566,-74.1723,10312,1
40.5566,-74.1494,10308,1
40.5567,-74.1554,10308,1
40.5569,-73.9252,11697,1
40.5572,-74.1995,10312,1
40.5572,-74.1213,10306,1
40.5573,-74.1581,10308,2
40.5573,-74.1385,10306,1
40.5573,-74.1162,10306,1
40.5574,-74.1259,10306,1
40.5576,-74.207,10309,1
40.5576,-74.1616,10308,3
40.5576,-74.1522,10308,1
40.5576,-74.1369,10306,1
40.5576,-74.1298,10306,2
40.5577,-74.1563,10308,3
40.5578,-74.1796,10312,1
40.5578,-74.1378,10306,1
40.5579,-74.1554,10308,2
40.5579,-74.122,10306,1
40.5579,-73.9106,11697,1
40.558,-74.1644,10312,1
40.558,-74.1609,10308,2
40.558,-74.1185,10306,1
40.5581,-74.1692,10312,1
40.5581,-74.1545,10308,1
40.5581,-73.921,11697,1
40.5582,-74.1655,10312,1
40.5583,-74.1674,10312,1
40.5585,-74.1444,10308,1
40.5586,-74.1304,10306,1
40.5586,-74.1209,10306,1
40.5587,-74.116,10306,1
40.5587,-73.9147,11697,1
40.5588,-74.1802,10312,1
40.5588,-74.149,10308,1
40.5588,-73.9211,11697,1
