Year,ZIP Code,Zillow_value
2007,10463,1.0413815389294403
2008,10463,1.1618955291970805
2009,10463,1.1104584854014599
2010,10463,1.0461958486803877
2011,10463,0.9706123648029528
2012,10463,0.8998031212685375
2013,10463,0.8515631332564376
2014,10463,0.8682243455591553
2015,10463,0.8778560378030099
2016,10463,0.9781404821497577
2017,10463,1.0558299227045866
1996,10464,
1997,10464,
1998,10464,
1999,10464,
2000,10464,
2001,10464,
2002,10464,
2003,10464,0.7458837720813469
2004,10464,0.9467583795880451
2005,10464,0.993153606907882
2006,10464,1.2376465132392116
2007,10464,1.1877642852207557
2008,10464,1.0547150057194623
2009,10464,1.0222236616842089
2010,10464,1.017540204173288
2011,10464,0.9133786475966742
2012,10464,0.8951106994249828
2013,10464,0.8872917818236256
2014,10464,0.838245833237369
2015,10464,0.8752509689835103
2016,10464,0.9783957644682887
2017,10464,1.0171543976912305
1996,10465,
1997,10465,
1998,10465,
1999,10465,
2000,10465,
2001,10465,
2002,10465,
2003,10465,
2004,10465,
2005,10465,
2006,10465,
2007,10465,
2008,10465,
2009,10465,
2010,10465,0.8892707286907019
2011,10465,0.882091762699746
2012,10465,0.8185021470040472
2013,10465,0.9188716247224015
2014,10465,0.86361550899128
2015,10465,0.910766982510468
2016,10465,0.9748177709553801
2017,10465,1.0321434023262708
1996,10466,
1997,10466,
1998,10466,
1999,10466,
2000,10466,
2001,10466,
2002,10466,
2003,10466,
2004,10466,
2005,10466,
2006,10466,
2007,10466,
2008,10466,
2009,10466,
2010,10466,
2011,10466,
2012,10466,
2013,10466,
2014,10466,
2015,10466,0.870013326195858
2016,10466,0.9501421397664327
2017,10466,0.9410086197968438
1996,10467,
1997,10467,
1998,10467,
1999,10467,
2000,10467,
2001,10467,
2002,10467,
2003,10467,
2004,10467,
2005,10467,
2006,10467,
2007,10467,
2008,10467,
2009,10467,
2010,10467,
2011,10467,
2012,10467,
2013,10467,
2014,10467,
2015,10467,0.9633037683017126
2016,10467,1.0059982750812408
2017,10467,1.0543059940621982
