Zip Code,Filing Year,Job Type,Count
10006,2007,A1,2
10006,2007,A2,122
10006,2007,DM,6
10006,2007,NB,0
10006,2008,A1,5
10006,2008,A2,107
10006,2008,DM,1
10006,2008,NB,2
10006,2009,A1,2
10006,2009,A2,88
10006,2009,DM,1
10006,2009,NB,0
10006,2010,A1,1
10006,2010,A2,84
10006,2010,DM,0
10006,2010,NB,0
10006,2011,A1,1
10006,2011,A2,84
10006,2011,DM,0
10006,2011,NB,0
10006,2012,A1,4
10006,2012,A2,96
10006,2012,DM,0
10006,2012,NB,0
10006,2013,A1,5
10006,2013,A2,93
10006,2013,DM,2
10006,2013,NB,1
10006,2014,A1,4
10006,2014,A2,114
10006,2014,DM,0
10006,2014,NB,1
10006,2015,A1,4
10006,2015,A2,108
10006,2015,DM,2
10006,2015,NB,2
10006,2016,A1,3
10006,2016,A2,140
10006,2016,DM,0
10006,2016,NB,0
10006,2017,A1,1
10006,2017,A2,143
10006,2017,DM,1
10006,2017,NB,2
10006,1989,A1,0
10006,1989,A2,0
10006,1989,DM,0
10006,1989,NB,0
10007,1990,A1,3
10007,1990,A2,47
10007,1990,DM,0
10007,1990,NB,0
10007,1991,A1,6
10007,1991,A2,103
10007,1991,DM,4
10007,1991,NB,0
10007,1992,A1,8
10007,1992,A2,118
10007,1992,DM,0
10007,1992,NB,0
10007,1993,A1,11
10007,1993,A2,120
10007,1993,DM,0
10007,1993,NB,0
10007,1994,A1,8
10007,1994,A2,106
10007,1994,DM,0
10007,1994,NB,0
10007,1995,A1,16
10007,1995,A2,147
10007,1995,DM,0
10007,1995,NB,0
10007,1996,A1,6
10007,1996,A2,122
10007,1996,DM,0
10007,1996,NB,0
10007,1997,A1,6
10007,1997,A2,132
10007,1997,DM,0
10007,1997,NB,0
10007,1998,A1,16
10007,1998,A2,122
10007,1998,DM,0
10007,1998,NB,0
10007,1999,A1,9
10007,1999,A2,172
10007,1999,DM,0
10007,1999,NB,0
10007,2000,A1,12
10007,2000,A2,242
10007,2000,DM,0
10007,2000,NB,0
10007,2001,A1,17
10007,2001,A2,188
10007,2001,DM,1
10007,2001,NB,0
10007,2002,A1,7
10007,2002,A2,173
10007,2002,DM,0
10007,2002,NB,0
10007,2003,A1,18
10007,2003,A2,222
10007,2003,DM,2
10007,2003,NB,0
10007,2004,A1,13
10007,2004,A2,145
10007,2004,DM,0
10007,2004,NB,1
10007,2005,A1,12
10007,2005,A2,182
10007,2005,DM,0
10007,2005,NB,2
10007,2006,A1,15
10007,2006,A2,182
10007,2006,DM,4
10007,2006,NB,1
10007,2007,A1,8
10007,2007,A2,190
10007,2007,DM,0
10007,2007,NB,1
10007,2008,A1,4
10007,2008,A2,295
10007,2008,DM,3
10007,2008,NB,2
10007,2009,A1,9
10007,2009,A2,239
10007,2009,DM,3
10007,2009,NB,3
10007,2010,A1,4
10007,2010,A2,285
10007,2010,DM,1
10007,2010,NB,1
10007,2011,A1,2
10007,2011,A2,297
10007,2011,DM,0
10007,2011,NB,0
10007,2012,A1,4
10007,2012,A2,315
10007,2012,DM,0
10007,2012,NB,0
10007,2013,A1,6
10007,2013,A2,376
10007,2013,DM,0
10007,2013,NB,1
10007,2014,A1,6
10007,2014,A2,264
10007,2014,DM,0
10007,2014,NB,0
10007,2015,A1,7
10007,2015,A2,220
10007,2015,DM,4
10007,2015,NB,2
10007,2016,A1,10
10007,2016,A2,244
10007,2016,DM,1
10007,2016,NB,0
10007,2017,A1,8
10007,2017,A2,212
10007,2017,DM,6
10007,2017,NB,3
10007,1989,A1,0
10007,1989,A2,0
10007,1989,DM,0
10007,1989,NB,0
10009,1990,A1,7
10009,1990,A2,57
10009,1990,DM,2
10009,1990,NB,0
10009,1991,A1,17
10009,1991,A2,138
10009,1991,DM,2
10009,1991,NB,1
10009,1992,A1,15
10009,1992,A2,185
10009,1992,DM,3
10009,1992,NB,1
10009,1993,A1,5
10009,1993,A2,118
10009,1993,DM,5
10009,1993,NB,3
10009,1994,A1,15
10009,1994,A2,184
10009,1994,DM,0
10009,1994,NB,1
10009,1995,A1,12
10009,1995,A2,149
10009,1995,DM,0
10009,1995,NB,4
10009,1996,A1,18
10009,1996,A2,160
10009,1996,DM,3
10009,1996,NB,1
10009,1997,A1,24
10009,1997,A2,147
10009,1997,DM,2
10009,1997,NB,7
10009,1998,A1,7
10009,1998,A2,196
10009,1998,DM,2
10009,1998,NB,31
10009,1999,A1,29
10009,1999,A2,264
10009,1999,DM,1
10009,1999,NB,12
10009,2000,A1,20
10009,2000,A2,294
10009,2000,DM,2
10009,2000,NB,9
10009,2001,A1,19
10009,2001,A2,252
10009,2001,DM,3
10009,2001,NB,5
10009,2002,A1,16
10009,2002,A2,344
10009,2002,DM,1
10009,2002,NB,4
10009,2003,A1,18
10009,2003,A2,311
10009,2003,DM,2
10009,2003,NB,9
10009,2004,A1,13
10009,2004,A2,318
10009,2004,DM,2
10009,2004,NB,6
10009,2005,A1,16
10009,2005,A2,305
10009,2005,DM,9
10009,2005,NB,4
10009,2006,A1,14
10009,2006,A2,336
10009,2006,DM,1
10009,2006,NB,5
10009,2007,A1,21
10009,2007,A2,311
10009,2007,DM,3
10009,2007,NB,5
10009,2008,A1,15
10009,2008,A2,448
10009,2008,DM,5
10009,2008,NB,3
10009,2009,A1,8
10009,2009,A2,802
10009,2009,DM,0
10009,2009,NB,2
10009,2010,A1,10
10009,2010,A2,590
10009,2010,DM,1
10009,2010,NB,1
10009,2011,A1,11
10009,2011,A2,813
10009,2011,DM,2
10009,2011,NB,1
10009,2012,A1,14
10009,2012,A2,398
10009,2012,DM,3
10009,2012,NB,4
10009,2013,A1,9
10009,2013,A2,389
10009,2013,DM,4
10009,2013,NB,3
10009,2014,A1,14
10009,2014,A2,346
10009,2014,DM,8
10009,2014,NB,2
10009,2015,A1,22
10009,2015,A2,429
10009,2015,DM,6
10009,2015,NB,6
10009,2016,A1,7
10009,2016,A2,365
10009,2016,DM,5
10009,2016,NB,5
10009,2017,A1,8
10009,2017,A2,398
10009,2017,DM,0
10009,2017,NB,2
10009,1989,A1,0
10009,1989,A2,0
10009,1989,DM,0
10009,1989,NB,0
10010,1990,A1,2
10010,1990,A2,100
10010,1990,DM,0
10010,1990,NB,0
10010,1991,A1,11
10010,1991,A2,242
10010,1991,DM,1
10010,1991,NB,0
10010,1992,A1,14
10010,1992,A2,266
10010,1992,DM,0
10010,1992,NB,0
10010,1993,A1,20
10010,1993,A2,297
10010,1993,DM,0
10010,1993,NB,0
10010,1994,A1,19
10010,1994,A2,283
10010,1994,DM,1
10010,1994,NB,0
10010,1995,A1,24
10010,1995,A2,296
10010,1995,DM,0
10010,1995,NB,0
10010,1996,A1,31
10010,1996,A2,327
10010,1996,DM,10
10010,1996,NB,1
10010,1997,A1,21
10010,1997,A2,331
10010,1997,DM,4
10010,1997,NB,1
10010,1998,A1,20
10010,1998,A2,402
10010,1998,DM,1
10010,1998,NB,2
10010,1999,A1,21
10010,1999,A2,398
10010,1999,DM,4
10010,1999,NB,2
10010,2000,A1,15
10010,2000,A2,415
10010,2000,DM,3
10010,2000,NB,0
10010,2001,A1,20
10010,2001,A2,493
10010,2001,DM,3
10010,2001,NB,1
10010,2002,A1,12
10010,2002,A2,469
10010,2002,DM,0
10010,2002,NB,0
10010,2003,A1,15
10010,2003,A2,398
10010,2003,DM,2
10010,2003,NB,1
10010,2004,A1,27
10010,2004,A2,433
10010,2004,DM,0
10010,2004,NB,1
10010,2005,A1,21
10010,2005,A2,461
10010,2005,DM,8
10010,2005,NB,3
10010,2006,A1,17
10010,2006,A2,446
10010,2006,DM,8
10010,2006,NB,7
10010,2007,A1,8
10010,2007,A2,499
10010,2007,DM,0
10010,2007,NB,1
10010,2008,A1,15
10010,2008,A2,496
10010,2008,DM,15
10010,2008,NB,5
10010,2009,A1,13
10010,2009,A2,519
10010,2009,DM,0
10010,2009,NB,1
10010,2010,A1,11
10010,2010,A2,555
10010,2010,DM,0
10010,2010,NB,1
10010,2011,A1,15
10010,2011,A2,677
10010,2011,DM,3
10010,2011,NB,0
10010,2012,A1,18
10010,2012,A2,579
10010,2012,DM,1
10010,2012,NB,1
10010,2013,A1,16
10010,2013,A2,588
10010,2013,DM,2
10010,2013,NB,0
10010,2014,A1,19
10010,2014,A2,739
10010,2014,DM,6
10010,2014,NB,4
10010,2015,A1,23
10010,2015,A2,797
10010,2015,DM,6
10010,2015,NB,2
10010,2016,A1,25
10010,2016,A2,748
10010,2016,DM,3
10010,2016,NB,5
10010,2017,A1,12
10010,2017,A2,661
10010,2017,DM,1
10010,2017,NB,1
10010,1989,A1,0
10010,1989,A2,0
10010,1989,DM,0
10010,1989,NB,0
10011,1990,A1,14
10011,1990,A2,123
10011,1990,DM,0
10011,1990,NB,0
10011,1991,A1,30
10011,1991,A2,283
10011,1991,DM,1
10011,1991,NB,1
10011,1992,A1,36
10011,1992,A2,286
10011,1992,DM,1
10011,1992,NB,0
10011,1993,A1,50
10011,1993,A2,300
10011,1993,DM,0
10011,1993,NB,0
10011,1994,A1,51
10011,1994,A2,379
10011,1994,DM,0
10011,1994,NB,0
10011,1995,A1,60
10011,1995,A2,468
10011,1995,DM,1
10011,1995,NB,1
10011,1996,A1,70
10011,1996,A2,439
10011,1996,DM,1
10011,1996,NB,0
10011,1997,A1,71
10011,1997,A2,590
10011,1997,DM,3
10011,1997,NB,0
10011,1998,A1,51
10011,1998,A2,584
10011,1998,DM,4
10011,1998,NB,3
10011,1999,A1,48
10011,1999,A2,669
10011,1999,DM,1
10011,1999,NB,4
10011,2000,A1,38
10011,2000,A2,699
10011,2000,DM,8
10011,2000,NB,4
10011,2001,A1,49
10011,2001,A2,690
10011,2001,DM,1
10011,2001,NB,5
10011,2002,A1,72
10011,2002,A2,650
10011,2002,DM,4
10011,2002,NB,2
10011,2003,A1,52
10011,2003,A2,715
10011,2003,DM,9
10011,2003,NB,3
10011,2004,A1,40
10011,2004,A2,783
10011,2004,DM,5
10011,2004,NB,5
10011,2005,A1,46
10011,2005,A2,758
10011,2005,DM,10
10011,2005,NB,9
10011,2006,A1,52
10011,2006,A2,863
10011,2006,DM,26
10011,2006,NB,10
10011,2007,A1,54
10011,2007,A2,863
10011,2007,DM,11
10011,2007,NB,10
10011,2008,A1,41
10011,2008,A2,855
10011,2008,DM,8
10011,2008,NB,5
10011,2009,A1,33
10011,2009,A2,767
10011,2009,DM,2
10011,2009,NB,3
10011,2010,A1,42
10011,2010,A2,845
10011,2010,DM,1
10011,2010,NB,1
10011,2011,A1,38
10011,2011,A2,975
10011,2011,DM,6
10011,2011,NB,2
10011,2012,A1,44
10011,2012,A2,956
10011,2012,DM,14
10011,2012,NB,6
10011,2013,A1,44
10011,2013,A2,1051
10011,2013,DM,6
10011,2013,NB,6
10011,2014,A1,30
10011,2014,A2,1154
10011,2014,DM,11
10011,2014,NB,1
10011,2015,A1,49
10011,2015,A2,1116
10011,2015,DM,7
10011,2015,NB,5
10011,2016,A1,31
10011,2016,A2,937
10011,2016,DM,9
10011,2016,NB,4
10011,2017,A1,39
10011,2017,A2,912
10011,2017,DM,7
10011,2017,NB,3
10011,1989,A1,0
10011,1989,A2,0
10011,1989,DM,0
10011,1989,NB,0
10012,1990,A1,5
10012,1990,A2,107
10012,1990,DM,1
10012,1990,NB,0
10012,1991,A1,19
10012,1991,A2,228
10012,1991,DM,2
10012,1991,NB,1
10012,1992,A1,19
10012,1992,A2,230
10012,1992,DM,0
10012,1992,NB,0
10012,1993,A1,19
10012,1993,A2,298
10012,1993,DM,1
10012,1993,NB,0
10012,1994,A1,26
10012,1994,A2,273
10012,1994,DM,0
10012,1994,NB,1
10012,1995,A1,36
10012,1995,A2,335
10012,1995,DM,1
10012,1995,NB,2
10012,1996,A1,25
10012,1996,A2,334
10012,1996,DM,0
10012,1996,NB,0
10012,1997,A1,25
10012,1997,A2,312
10012,1997,DM,1
10012,1997,NB,0
10012,1998,A1,34
10012,1998,A2,459
10012,1998,DM,3
10012,1998,NB,5
10012,1999,A1,25
10012,1999,A2,441
10012,1999,DM,1
10012,1999,NB,1
10012,2000,A1,41
10012,2000,A2,522
10012,2000,DM,7
10012,2000,NB,4
10012,2001,A1,41
10012,2001,A2,517
10012,2001,DM,2
10012,2001,NB,2
10012,2002,A1,37
10012,2002,A2,505
10012,2002,DM,1
10012,2002,NB,5
10012,2003,A1,46
10012,2003,A2,468
10012,2003,DM,1
10012,2003,NB,3
10012,2004,A1,37
10012,2004,A2,513
10012,2004,DM,3
10012,2004,NB,2
10012,2005,A1,50
10012,2005,A2,529
10012,2005,DM,1
10012,2005,NB,4
10012,2006,A1,52
10012,2006,A2,530
10012,2006,DM,5
10012,2006,NB,3
10012,2007,A1,36
10012,2007,A2,600
10012,2007,DM,5
10012,2007,NB,6
10012,2008,A1,24
10012,2008,A2,659
10012,2008,DM,6
10012,2008,NB,3
10012,2009,A1,34
10012,2009,A2,572
10012,2009,DM,2
10012,2009,NB,3
10012,2010,A1,25
10012,2010,A2,622
10012,2010,DM,0
10012,2010,NB,1
10012,2011,A1,24
10012,2011,A2,643
10012,2011,DM,1
10012,2011,NB,1
10012,2012,A1,24
10012,2012,A2,655
10012,2012,DM,3
10012,2012,NB,2
10012,2013,A1,28
10012,2013,A2,686
10012,2013,DM,7
10012,2013,NB,3
10012,2014,A1,17
10012,2014,A2,720
10012,2014,DM,2
10012,2014,NB,9
10012,2015,A1,27
10012,2015,A2,720
10012,2015,DM,2
10012,2015,NB,1
