Zip_Code,MONTH,YEAR,COUNT
10314,3,2006,70
10314,11,2006,74
10314,12,2006,84
10314,6,2006,99
10314,4,2006,66
10314,9,2006,75
10314,1,2006,78
10314,2,2006,57
10314,5,2006,68
10314,7,2006,86
10314,8,2006,56
10065,3,2006,57
10065,9,2006,61
10065,11,2006,73
10065,1,2006,66
10065,2,2006,36
10065,7,2006,74
10065,5,2006,77
10065,4,2006,60
10065,6,2006,58
10065,12,2006,70
10065,8,2006,74
10065,10,2006,68
10069,2,2006,1
10069,8,2006,2
10069,10,2006,1
10069,12,2006,1
10069,7,2006,1
10069,4,2006,2
10069,3,2006,2
10069,5,2006,1
10069,11,2006,2
10069,1,2006,1
10069,6,2006,3
11354,7,2006,81
11354,6,2006,88
11354,5,2006,97
11354,8,2006,86
11354,3,2006,85
11354,12,2006,83
11354,10,2006,94
11354,1,2006,98
11354,11,2006,86
11354,4,2006,99
11354,9,2006,85
11354,2,2006,85
10075,6,2006,35
10075,7,2006,24
10075,4,2006,30
10075,12,2006,41
10075,5,2006,31
10075,8,2006,25
10075,3,2006,23
10075,10,2006,35
10075,11,2006,36
10075,2,2006,23
10075,9,2006,40
10075,1,2006,31
11355,8,2006,72
11355,2,2006,73
11355,1,2006,107
11355,11,2006,88
11355,5,2006,80
11355,4,2006,64
11355,12,2006,96
11355,3,2006,81
11355,9,2006,99
11355,6,2006,93
11355,7,2006,77
11355,10,2006,72
11356,11,2006,42
11356,5,2006,30
11356,10,2006,16
11356,4,2006,38
11356,6,2006,24
11356,12,2006,32
11356,7,2006,25
11356,1,2006,48
11356,2,2006,26
11356,3,2006,35
11356,8,2006,33
11356,9,2006,22
11101,7,2006,138
11101,2,2006,95
11101,8,2006,111
11101,9,2006,135
11101,6,2006,115
11101,3,2006,138
11101,4,2006,98
11101,10,2006,151
11101,12,2006,129
11101,11,2006,114
11101,1,2006,111
11101,5,2006,118
11357,1,2006,31
11357,5,2006,27
11357,12,2006,29
11357,11,2006,22
11357,6,2006,22
11357,3,2006,28
11357,4,2006,22
11357,8,2006,20
11357,2,2006,27
11357,9,2006,31
11357,7,2006,30
11357,10,2006,29
11102,1,2006,70
11102,10,2006,58
11102,8,2006,57
11102,9,2006,55
11102,4,2006,53
11102,12,2006,36
11102,3,2006,59
11102,11,2006,48
11102,2,2006,38
11102,6,2006,48
11102,7,2006,63
11102,5,2006,49
11358,7,2006,30
11358,4,2006,42
11358,5,2006,44
11358,2,2006,28
11358,3,2006,52
11358,8,2006,36
11358,12,2006,39
11358,1,2006,46
11358,6,2006,32
11358,9,2006,39
11358,11,2006,27
11358,10,2006,36
11103,7,2006,47
11103,9,2006,48
11103,5,2006,69
11103,12,2006,59
11103,8,2006,47
11103,4,2006,49
11103,6,2006,40
11103,11,2006,68
11103,3,2006,47
11103,10,2006,61
11103,2,2006,52
11103,1,2006,59
11359,12,2006,1
10080,9,2006,2
10080,7,2006,2
10080,11,2006,1
10080,4,2006,3
10080,10,2006,1
10080,12,2006,2
10080,8,2006,1
10080,1,2006,1
10080,3,2006,1
10080,5,2006,1
10080,6,2006,1
11104,4,2006,27
11104,8,2006,31
11104,10,2006,27
11104,5,2006,29
11104,2,2006,18
11104,3,2006,31
11104,6,2006,39
11104,7,2006,21
11104,12,2006,35
11104,11,2006,28
11104,9,2006,35
11104,1,2006,30
11360,4,2006,12
11360,6,2006,7
11360,2,2006,13
11360,11,2006,18
11360,9,2006,16
11360,3,2006,7
11360,8,2006,7
11360,5,2006,9
11360,12,2006,14
11360,7,2006,12
11360,1,2006,9
11360,10,2006,7
11105,4,2006,46
11105,12,2006,45
11105,10,2006,34
11105,7,2006,39
11105,6,2006,34
11105,9,2006,32
11105,5,2006,45
11105,3,2006,35
11105,11,2006,43
11105,8,2006,34
11105,1,2006,50
11105,2,2006,25
11361,7,2006,36
11361,10,2006,34
11361,5,2006,34
11361,11,2006,44
11361,6,2006,30
11361,3,2006,33
11361,12,2006,35
11361,2,2006,33
11361,8,2006,26
11361,4,2006,34
11361,9,2006,25
11361,1,2006,50
11106,1,2006,62
11106,2,2006,51
11106,5,2006,67
11106,7,2006,74
11106,11,2006,66
11106,12,2006,54
11106,3,2006,67
11106,9,2006,77
11106,6,2006,69
11106,4,2006,69
11106,8,2006,66
11106,10,2006,82
11362,2,2006,18
11362,1,2006,16
11362,6,2006,19
11362,12,2006,29
11362,3,2006,30
11362,8,2006,12
11362,9,2006,26
11362,5,2006,19
11362,11,2006,7
11362,4,2006,24
11362,7,2006,13
11362,10,2006,19
11363,9,2006,4
11363,6,2006,8
11363,8,2006,9
11363,12,2006,4
11363,1,2006,1
11363,2,2006,6
11363,5,2006,4
11363,4,2006,8
11363,10,2006,11
11363,11,2006,12
11363,7,2006,6
11363,3,2006,9
11364,3,2006,38
11364,2,2006,32
11364,4,2006,33
11364,6,2006,25
11364,7,2006,35
11364,1,2006,35
11364,12,2006,26
11364,11,2006,25
11364,10,2006,42
11364,8,2006,32
11364,9,2006,28
11364,5,2006,42
11109,7,2006,1
11109,10,2006,1
11109,12,2006,1
11365,4,2006,40
11365,11,2006,45
11365,7,2006,48
11365,2,2006,54
11365,10,2006,33
11365,3,2006,54
11365,8,2006,43
11365,6,2006,53
11365,9,2006,54
11365,12,2006,51
11365,1,2006,64
11365,5,2006,47
11366,5,2006,21
11366,11,2006,12
11366,9,2006,18
11366,8,2006,25
11366,6,2006,14
11366,2,2006,19
11366,7,2006,16
11366,10,2006,19
11366,4,2006,32
11366,3,2006,24
11366,1,2006,25
11366,12,2006,26
11367,4,2006,50
11367,2,2006,43
11367,1,2006,74
11367,3,2006,79
11367,11,2006,56
11367,6,2006,56
11367,7,2006,59
11367,8,2006,59
11367,12,2006,51
11367,10,2006,54
11367,5,2006,67
11367,9,2006,50
11368,2,2006,133
11368,7,2006,233
11368,6,2006,156
11368,1,2006,164
11368,8,2006,183
11368,12,2006,208
11368,10,2006,194
11368,3,2006,164
11368,5,2006,160
11368,11,2006,202
11368,4,2006,155
11368,9,2006,219
11369,4,2006,62
11369,7,2006,77
11369,8,2006,72
11369,3,2006,61
11369,12,2006,64
11369,6,2006,42
11369,9,2006,63
11369,11,2006,70
11369,10,2006,60
11369,1,2006,58
11369,5,2006,67
11369,2,2006,52
11370,3,2006,46
11370,4,2006,56
11370,1,2006,40
11370,11,2006,46
11370,2,2006,37
11370,9,2006,39
11370,6,2006,38
11370,10,2006,32
11370,12,2006,49
11370,8,2006,41
11370,7,2006,33
11370,5,2006,37
11371,1,2006,3
11371,9,2006,2
11371,2,2006,1
11371,10,2006,2
11371,6,2006,4
11371,5,2006,3
11371,8,2006,7
11371,4,2006,6
11371,12,2006,4
11371,3,2006,1
11371,11,2006,2
11371,7,2006,2
11372,12,2006,122
11372,6,2006,105
11372,11,2006,139
11372,4,2006,100
11372,8,2006,128
11372,1,2006,98
11372,10,2006,153
11372,7,2006,119
11372,5,2006,112
11372,9,2006,131
11372,3,2006,109
11372,2,2006,108
11373,10,2006,164
11373,2,2006,127
11373,11,2006,156
11373,4,2006,121
11373,7,2006,130
11373,12,2006,150
11373,5,2006,131
11373,3,2006,149
11373,6,2006,153
11373,1,2006,155
11373,8,2006,120
11373,9,2006,154
11374,12,2006,57
11374,2,2006,49
11374,5,2006,55
11374,7,2006,58
11374,11,2006,47
11374,1,2006,59
11374,9,2006,57
11374,8,2006,58
11374,3,2006,36
11374,6,2006,48
11374,10,2006,57
11374,4,2006,36
11375,9,2006,96
11375,10,2006,103
11375,8,2006,85
11375,5,2006,96
11375,4,2006,69
11375,7,2006,107
11375,11,2006,79
11375,12,2006,68
11375,6,2006,83
11375,1,2006,90
11375,3,2006,74
11375,2,2006,77
11377,6,2006,126
11377,12,2006,126
11377,4,2006,111
11377,9,2006,136
11377,7,2006,133
11377,1,2006,151
11377,2,2006,83
11377,10,2006,149
11377,11,2006,143
11377,3,2006,136
11377,5,2006,97
11377,8,2006,133
11378,10,2006,41
11378,6,2006,37
11378,9,2006,36
11378,3,2006,53
11378,7,2006,52
11378,8,2006,49
11378,4,2006,67
11378,12,2006,50
11378,2,2006,45
11378,5,2006,58
11378,11,2006,53
11378,1,2006,42
11379,6,2006,29
11379,11,2006,45
11379,3,2006,27
11379,2,2006,23
11379,10,2006,33
11379,12,2006,28
11379,7,2006,34
11379,4,2006,27
11379,5,2006,27
11379,1,2006,21
11379,8,2006,35
11379,9,2006,33
11381,2,2006,1
11381,1,2006,3
11381,7,2006,2
11381,11,2006,2
11381,4,2006,4
11381,3,2006,4
11381,5,2006,2
11381,12,2006,1
11381,9,2006,1
11381,10,2006,2
10105,9,2006,1
10105,12,2006,1
10105,10,2006,1
11385,10,2006,167
11385,4,2006,136
11385,9,2006,164
11385,1,2006,158
11385,2,2006,116
11385,12,2006,147
11385,6,2006,147
11385,11,2006,153
11385,3,2006,161
11385,8,2006,177
11385,5,2006,162
11385,7,2006,181
10107,10,2006,1
10107,6,2006,3
10107,2,2006,3
10107,4,2006,3
10107,12,2006,1
10107,7,2006,4
10107,9,2006,1
10107,1,2006,2
10107,3,2006,2
10110,2,2006,1
10110,5,2006,2
10110,1,2006,1
10110,9,2006,1
10110,3,2006,1
10110,10,2006,2
10110,6,2006,1
10111,9,2006,2
10111,6,2006,2
10111,11,2006,2
10111,10,2006,2
10111,3,2006,1
10111,4,2006,1
10111,7,2006,1
10111,12,2006,2
10112,4,2006,3
10112,2,2006,1
10112,1,2006,6
10112,12,2006,6
10112,10,2006,4
10112,7,2006,1
10112,5,2006,3
10112,9,2006,3
10112,3,2006,1
10112,11,2006,1
10112,6,2006,1
10112,8,2006,1
10115,10,2006,2
10115,8,2006,2
10115,2,2006,2
10115,3,2006,1
10115,11,2006,1
10115,12,2006,2
10115,1,2006,1
10115,9,2006,2
10118,10,2006,2
10118,12,2006,2
10118,7,2006,2
10118,3,2006,1
10118,6,2006,1
10118,4,2006,1
10119,5,2006,13
10119,10,2006,15
10119,11,2006,14
10119,9,2006,14
10119,7,2006,13
10119,12,2006,12
10119,4,2006,16
10119,2,2006,7
10119,1,2006,9
10119,8,2006,16
10119,6,2006,10
10119,3,2006,17
11405,9,2006,1
11405,5,2006,1
10128,5,2006,55
10128,10,2006,97
10128,11,2006,41
10128,3,2006,75
10128,7,2006,75
10128,2,2006,47
10128,8,2006,79
10128,6,2006,64
10128,4,2006,57
10128,12,2006,70
10128,1,2006,72
10128,9,2006,82
11411,2,2006,22
11411,10,2006,28
11411,7,2006,33
11411,3,2006,41
11411,1,2006,39
11411,12,2006,31
11411,4,2006,37
11411,11,2006,18
11411,8,2006,23
11411,9,2006,31
11411,5,2006,30
11411,6,2006,23
11412,4,2006,56
11412,7,2006,52
11412,2,2006,66
11412,6,2006,52
11412,3,2006,61
11412,8,2006,62
11412,1,2006,54
11412,9,2006,57
11412,10,2006,67
11412,5,2006,66
11412,11,2006,35
11412,12,2006,65
11413,7,2006,84
11413,12,2006,66
11413,1,2006,58
11413,8,2006,73
11413,2,2006,56
11413,11,2006,77
11413,3,2006,70
11413,4,2006,75
11413,5,2006,72
11413,9,2006,69
11413,6,2006,60
11413,10,2006,71
11414,5,2006,29
11414,9,2006,28
11414,8,2006,29
11414,10,2006,27
11414,11,2006,23
11414,3,2006,32
11414,1,2006,26
11414,2,2006,32
11414,12,2006,26
11414,4,2006,29
11414,7,2006,29
11414,6,2006,34
11415,1,2006,21
11415,2,2006,11
11415,3,2006,14
11415,12,2006,21
11415,7,2006,24
11415,9,2006,21
11415,10,2006,19
11415,11,2006,18
11415,4,2006,19
11415,6,2006,16
11415,5,2006,14
11415,8,2006,18
11416,3,2006,34
11416,1,2006,31
11416,6,2006,37
11416,8,2006,40
11416,10,2006,41
11416,4,2006,45
11416,11,2006,25
11416,9,2006,45
11416,2,2006,36
11416,5,2006,41
11416,7,2006,37
11416,12,2006,40
11417,1,2006,72
11417,6,2006,66
11417,4,2006,35
11417,5,2006,65
11417,7,2006,78
11417,3,2006,50
11417,8,2006,55
11417,11,2006,50
11417,12,2006,62
11417,9,2006,67
11417,10,2006,68
11417,2,2006,41
11418,12,2006,56
11418,8,2006,55
11418,3,2006,60
11418,6,2006,63
11418,11,2006,90
11418,5,2006,66
11418,1,2006,47
11418,2,2006,39
11418,10,2006,59
11418,7,2006,81
11418,4,2006,50
11418,9,2006,74
11419,1,2006,59
11419,8,2006,78
11419,9,2006,71
11419,10,2006,70
11419,11,2006,101
11419,7,2006,70
11419,3,2006,72
11419,4,2006,75
11419,6,2006,72
11419,2,2006,69
11419,12,2006,88
11419,5,2006,71
11420,5,2006,80
11420,11,2006,84
11420,4,2006,74
11420,12,2006,72
11420,2,2006,59
11420,9,2006,95
11420,3,2006,90
11420,1,2006,62
11420,10,2006,80
11420,7,2006,96
11420,6,2006,70
11420,8,2006,83
11421,7,2006,70
11421,12,2006,53
11421,9,2006,63
11421,1,2006,56
11421,10,2006,48
11421,4,2006,50
11421,5,2006,79
11421,6,2006,72
11421,3,2006,63
11421,2,2006,62
11421,8,2006,80
11421,11,2006,55
11422,2,2006,45
11422,5,2006,46
11422,8,2006,48
11422,10,2006,38
11422,9,2006,49
11422,1,2006,50
11422,7,2006,37
11422,3,2006,47
11422,4,2006,38
11422,6,2006,46
11422,12,2006,44
11422,11,2006,59
11423,5,2006,65
11423,6,2006,48
11423,4,2006,53
11423,11,2006,43
11423,3,2006,41
11423,9,2006,60
11423,8,2006,57
11423,1,2006,50
11423,10,2006,50
11423,2,2006,40
11423,7,2006,60
11423,12,2006,44
11426,7,2006,14
11426,11,2006,21
11426,3,2006,23
11426,9,2006,15
11426,2,2006,15
11426,8,2006,25
11426,12,2006,33
11426,10,2006,25
11426,1,2006,23
11426,4,2006,21
11426,6,2006,15
11426,5,2006,18
11427,11,2006,30
11427,9,2006,26
11427,5,2006,36
11427,12,2006,32
11427,8,2006,26
11427,4,2006,27
11427,10,2006,25
11427,2,2006,30
11427,7,2006,29
11427,1,2006,21
11427,3,2006,39
11427,6,2006,21
11428,7,2006,25
11428,2,2006,21
11428,9,2006,19
11428,12,2006,17
11428,3,2006,34
11428,11,2006,17
11428,10,2006,33
11428,8,2006,19
11428,4,2006,29
11428,1,2006,17
11428,6,2006,32
11428,5,2006,22
11429,11,2006,43
11429,7,2006,40
11429,10,2006,38
11429,8,2006,39
11429,1,2006,32
11429,5,2006,37
11429,3,2006,48
11429,12,2006,32
11429,9,2006,42
11429,4,2006,51
11429,6,2006,33
11429,2,2006,36
11430,11,2006,5
11430,12,2006,4
11430,7,2006,2
11430,2,2006,1
11430,3,2006,3
11430,6,2006,6
11430,8,2006,4
