Zip_Code,YEAR,CRIME_COUNT
10463,2011,1325
10463,2012,1189
10463,2013,1136
10463,2014,1261
10463,2015,1336
10463,2016,1354
10464,2006,57
10464,2007,81
10464,2008,96
10464,2009,78
10464,2010,72
10464,2011,74
10464,2012,84
10464,2013,83
10464,2014,61
10464,2015,75
10464,2016,52
10465,2006,714
10465,2007,668
10465,2008,719
10465,2009,691
10465,2010,731
10465,2011,731
10465,2012,669
10465,2013,635
10465,2014,640
10465,2015,755
10465,2016,788
10466,2006,1790
10466,2007,1764
10466,2008,2104
10466,2009,1957
10466,2010,2041
10466,2011,1699
10466,2012,1775
10466,2013,1550
10466,2014,1725
10466,2015,1845
10466,2016,1925
10467,2006,2772
10467,2007,2757
10467,2008,3003
10467,2009,3187
10467,2010,3114
10467,2011,3226
10467,2012,2913
10467,2013,2868
10467,2014,3020
10467,2015,2984
10467,2016,3173
10468,2006,2657
10468,2007,2688
10468,2008,2867
10468,2009,2652
10468,2010,3049
10468,2011,2719
10468,2012,2529
10468,2013,2525
10468,2014,2599
10468,2015,2379
10468,2016,2179
10469,2006,1497
10469,2007,1471
10469,2008,1541
10469,2009,1586
10469,2010,1569
10469,2011,1549
10469,2012,1577
10469,2013,1460
10469,2014,1352
10469,2015,1403
10469,2016,1528
10470,2006,406
10470,2007,454
10470,2008,526
10470,2009,500
10470,2010,535
10470,2011,418
10470,2012,544
10470,2013,481
10470,2014,482
10470,2015,487
10470,2016,448
10471,2006,229
10471,2007,243
10471,2008,214
10471,2009,298
10471,2010,276
10471,2011,222
10471,2012,285
10471,2013,262
10471,2014,295
10471,2015,313
10471,2016,283
10472,2006,3231
10472,2007,3787
10472,2008,3216
10472,2009,3059
10472,2010,3228
10472,2011,3126
10472,2012,2975
10472,2013,2525
10472,2014,2499
10472,2015,2210
10472,2016,2180
10473,2006,2423
10473,2007,2464
10473,2008,2380
10473,2009,2308
10473,2010,2390
10473,2011,2384
10473,2012,2078
10473,2013,1905
10473,2014,1693
10473,2015,1774
10473,2016,1774
10474,2006,831
